Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
NEISSERIA FLAVESCENS,2,0,1,0,0,1,Cefalexin,S
ESCHERICHIA HERMANNII,3,0,0,0,0,3,Cefalexin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILUS,22,0,10,0,0,12,Cefalexin,S
PASTEURELLA DAGMATIS,22,0,13,1,0,8,Cefalexin,S
ACTINOMYCES SP.,22,0,0,0,0,22,Cefalexin,Tie
MORAXELLA SPP,2,0,0,0,0,2,Cefalexin,Tie
PSEUDOMONAS KOREENSIS,2,0,0,0,0,2,Cefalexin,Tie
STREPTOCOCCUS PNEUMONIAE,10,0,0,0,0,10,Cefalexin,Tie
STREPTOCOCCUS SP.,17,0,0,0,0,17,Cefalexin,Tie
SPHINGOMONAS PARAPAUCIMOBILIS,1,0,0,0,0,1,Cefalexin,Tie
LISTERIA MONOCYTOGENES,2,0,0,0,0,2,Cefalexin,Tie
BACILLUS LICHENIFORMIS,7,0,0,0,0,7,Cefalexin,Tie
AEROMONAS HYDROPHILA SS HYDROPHILA,3,1,0,0,0,2,Cefalexin,R
METHYLOBACTERIUM SP.,1,0,0,0,0,1,Cefalexin,Tie
AEROMONAS SOBRIA,3,0,0,0,0,3,Cefalexin,Tie
SHEWANELLA PUTREFACIENS,3,0,1,0,0,2,Cefalexin,S
STREPTOCOCCUS DYSGALACTIAE,28,0,0,0,0,28,Cefalexin,Tie
PASTEURELLA STOMATIS,4,0,1,0,0,3,Cefalexin,S
ACINETOBACTERER BAUMANNII,10,2,0,0,0,8,Cefalexin,R
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,10,0,0,0,0,10,Cefalexin,Tie
GALLIBACTERIUM ANATIS,1,0,0,0,0,1,Cefalexin,Tie
MORAXELLA BOVIS,2,0,0,0,0,2,Cefalexin,Tie
ENTEROBACTER SP.,22,5,0,0,0,17,Cefalexin,R
AEROMONAS VERONII,5,0,2,0,0,3,Cefalexin,S
NEISSERIA WEAVERI,8,0,4,0,0,4,Cefalexin,S
STREPTOCOCCUS GP. B,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM ULCERANS,9,0,0,0,0,9,Cefalexin,Tie
CORYNEBACTERIUM UREALYTICUM,10,0,0,0,0,10,Cefalexin,Tie
AEROMONAS HYDROPHILA,2,0,0,0,0,2,Cefalexin,Tie
CORYNEBACTERIUM AMYCOLATUM,29,0,0,0,0,29,Cefalexin,Tie
KLEBSIELLA SP.,7,5,1,0,0,1,Cefalexin,R
ENTEROBACTER LUDWIGII,10,3,0,0,0,7,Cefalexin,R
STREPTOCOCCUS DYSGALACT. SS EQUISIMILIS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS GROUP C,1,0,0,0,0,1,Cefalexin,Tie
BACILLUS SIMPLEX,1,0,0,0,0,1,Cefalexin,Tie
BURKHOLDERIA CEPACIA,2,1,0,0,0,1,Cefalexin,R
PSEUDOMONAS FULVA,5,3,0,0,0,2,Cefalexin,R
STAPHYLOCOCCUS SCHLEIFERI COAG POSITIVE,1,0,0,0,0,1,Cefalexin,Tie
ACTINOBACILLUS ROSSII,7,0,0,0,0,7,Cefalexin,Tie
GRAMPOSITIVE ORGANISM,3,0,0,0,0,3,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI COAG NEG,1,0,0,0,0,1,Cefalexin,Tie
BACILLUS MEGATERIUM,10,0,0,0,0,10,Cefalexin,Tie
BACILLUS THURINGIENSIS,6,0,0,0,0,6,Cefalexin,Tie
OCHROBACTRUM INTERMEDIUM,2,2,0,0,0,0,Cefalexin,R
BERGEYELLA ZOOHELCUM,2,1,1,0,0,0,Cefalexin,Tie
ROTHIA SP.,6,0,0,0,0,6,Cefalexin,Tie
KLEBSIELLA VARIICOLA,16,0,8,0,0,8,Cefalexin,S
CITROBACTER SEDLAKII,5,0,0,0,0,5,Cefalexin,Tie
BACILLUS PUMILUS,5,0,0,0,0,5,Cefalexin,Tie
EIKENELLA CORRODENS,3,0,2,1,0,0,Cefalexin,S
MORAXELLA BOVOCULI,5,0,0,0,0,5,Cefalexin,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Cefalexin,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS DELPHINI,11,0,0,0,0,11,Cefalexin,Tie
STREPTOCOCCUS MINOR,5,0,0,0,0,5,Cefalexin,Tie
CORYNEBACTERIUM AURICANIS,2,0,0,0,0,2,Cefalexin,Tie
CAPNOCYTOPHAGA OCHRACEA,1,0,1,0,0,0,Cefalexin,S
MICROBACTERIUM PARAOXYDANS,2,0,0,0,0,2,Cefalexin,Tie
AEROCOCCUS VIRIDANS,5,0,0,0,0,5,Cefalexin,Tie
UNIDENTIFIED,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS HALICHOERI,10,0,0,0,0,10,Cefalexin,Tie
LACTOBACILLUS SP.,2,0,0,0,0,2,Cefalexin,Tie
CORYNEBACTERIUM BOVIS,3,0,0,0,0,3,Cefalexin,Tie
RAOULTELLA TERRIGENA,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI COAGULASE CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS GALLOLYTICUS,8,0,0,0,0,8,Cefalexin,Tie
ENTEROCOCCUS CASSELIFLAVUS,5,0,0,0,0,5,Cefalexin,Tie
PROTEUS HAUSERI,17,9,0,0,0,8,Cefalexin,R
STAPHYLOCOCCUS AUREUS,144,0,0,0,0,144,Cefalexin,Tie
DELFTIA ACIDOVORANS,2,0,1,1,0,0,Cefalexin,Tie
SALMONELLA SP. GROUP D,10,0,1,0,0,9,Cefalexin,S
AVIBACTERIUM ENDOCARDITIDIS,1,0,0,0,0,1,Cefalexin,Tie
PLURALIBACTER GERGOVIAE,3,1,1,0,0,1,Cefalexin,Tie
KOCURIA VARIANS,1,0,0,0,0,1,Cefalexin,Tie
CHRYSEOBACTERIUM GLEUM,2,1,0,0,0,1,Cefalexin,R
AEROMONAS MEDIA,1,0,1,0,0,0,Cefalexin,S
KOCURIA ROSEA,1,0,0,0,0,1,Cefalexin,Tie
ESCHERICHIA VULNERIS,2,0,2,0,0,0,Cefalexin,S
SALMONELLA SP. GROUP 18,3,0,0,0,0,3,Cefalexin,Tie
PSEUDOMONAS ORYZIHABITANS,2,2,0,0,0,0,Cefalexin,R
ARCANOBACTERIUM CANIS,4,0,0,0,0,4,Cefalexin,Tie
STREPTOCOCCUS LUTIENSIS,1,0,0,0,0,1,Cefalexin,Tie
LACTOBACILLUS SALIVARIUS,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM DIPTHERIAE,1,0,0,0,0,1,Cefalexin,Tie
CANIBACTER ORIS,2,0,0,0,0,2,Cefalexin,Tie
LACTOBACILLUS JOHNSONII,1,0,0,0,0,1,Cefalexin,Tie
LACTOBACILLUS REUTERI,2,0,0,0,0,2,Cefalexin,Tie
MORAXELLA OSLOENSIS,1,0,1,0,0,0,Cefalexin,S
LEUCONOSTOC LACTIS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS LUTETIENSIS,2,0,0,0,0,2,Cefalexin,Tie
BACILLUS SUBTILIS,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE SP.,1,0,0,0,0,1,Cefalexin,Tie
PAENIBACILLUS HUMICUS,1,0,0,0,0,1,Cefalexin,Tie
MORAXELLA CANIS,7,0,3,0,0,4,Cefalexin,S
CAPNOCYTOPHAGA SP.,2,0,2,0,0,0,Cefalexin,S
BACILLUS MYCOIDES,1,0,0,0,0,1,Cefalexin,Tie
MORGANELLA MORGANI,2,1,0,0,0,1,Cefalexin,R
PEDIOCOCCUS ACIDILACTICI,1,0,0,0,0,1,Cefalexin,Tie
WEISELLA SP.,2,0,0,0,0,2,Cefalexin,Tie
LYSINIBACILLUS SP.,1,0,0,0,0,1,Cefalexin,Tie
MICROBACTERIUM PARAOXYDAS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS SP. GP. C,1,0,0,0,0,1,Cefalexin,Tie
ARCANOBACTERIUM SP.,11,0,0,0,0,11,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,0,0,0,0,1,Cefalexin,Tie
DERMACOCCUS SP.,1,0,0,0,0,1,Cefalexin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,1,0,0,0,0,Cefalexin,R
ENTEROCOCCUS MUNDTII,2,0,0,0,0,2,Cefalexin,Tie
STREPTOCOCCUS MITIS,2,0,0,0,0,2,Cefalexin,Tie
KOCURIA SP.,1,0,0,0,0,1,Cefalexin,Tie
LELLIOTTIA AMNIGENA,1,1,0,0,0,0,Cefalexin,R
ACINETOBACTERER JUNII,2,0,0,0,0,2,Cefalexin,Tie
KOCURIA KRISTINAE,1,0,0,0,0,1,Cefalexin,Tie
MACROCOCCUS CASEOLYTICUS,1,0,0,0,0,1,Cefalexin,Tie
PASTEURELLA MAIRII,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
SERRATIA FONTICOLA,2,2,0,0,0,0,Cefalexin,R
LEUCONOSTOC SP.,1,0,0,0,0,1,Cefalexin,Tie
LYSINIBACILLUS FUSIFORMIS,1,0,0,0,0,1,Cefalexin,Tie
GRAMNEGATIVE COCCI,1,0,1,0,0,0,Cefalexin,S
BREVIBACTERIUM SP.,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS ANGINOSUS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Cefalexin,Tie
PAENIBACILLUS SP.,7,1,0,0,0,6,Cefalexin,R
GRAMPOSITIVE BRANCHING ROD,2,0,0,0,0,2,Cefalexin,Tie
CHRYSEOBACTERIUM SP.,2,0,0,0,0,2,Cefalexin,Tie
ACTINOBACILLUS EQUULI,9,0,0,0,0,9,Cefalexin,Tie
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,0,0,0,0,1,Cefalexin,Tie
TRUEPERELLA BERNARDIAE,3,0,0,0,0,3,Cefalexin,Tie
CITROBACTER FARMERI,2,0,2,0,0,0,Cefalexin,S
ENTEROCOCCUS CANINESTINI,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,0,0,0,11,Cefalexin,Tie
SALMONELLA GROUP - C1,1,0,0,0,0,1,Cefalexin,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Cefalexin,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA GROUP - C2,1,0,0,0,0,1,Cefalexin,Tie
PSEUDOMONAS LUTEOLA,1,1,0,0,0,0,Cefalexin,R
STENOTROPHOMONAS SP.,1,1,0,0,0,0,Cefalexin,R
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Cefalexin,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,0,0,1,0,1,Cefalexin,I
PROVIDENCIA ALCALIFACIENS,1,0,1,0,0,0,Cefalexin,S
STAPHYLOCOCCUS FELIS,32,0,0,0,0,32,Cefalexin,Tie
YOKENELLA REGENSBURGEI,1,1,0,0,0,0,Cefalexin,R
KLEBSIELLA AEROGENES,2,2,0,0,0,0,Cefalexin,R
GRANULICATELLA ADIACENS,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM XEROSIS,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM PROPINQUUM,1,0,0,0,0,1,Cefalexin,Tie
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,0,0,1,0,0,Cefalexin,I
CAPNOCYTOPHAGA CYNODEGMI,2,1,1,0,0,0,Cefalexin,Tie
ALCALIGENES SP.,1,0,0,0,0,1,Cefalexin,Tie
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,0,0,0,3,Cefalexin,Tie
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,0,0,0,1,Cefalexin,Tie
ENTEROBACTER HORMAECHEI,38,1,0,0,0,37,Cefalexin,R
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Cefalexin,Tie
AEROMONAS HYDROPHILA COMPLEX,2,0,0,1,0,1,Cefalexin,I
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Cefalexin,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,0,1,Cefalexin,Tie
AEROMONAS HYDROPHILA /CAVIAE,1,0,0,1,0,0,Cefalexin,I
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Cefalexin,Tie
KOSAKONIA COWANII,1,0,1,0,0,0,Cefalexin,S
TRUEPERELLA ABORTISUIS,4,0,0,0,0,4,Cefalexin,Tie
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Cefalexin,Tie
OCHROBACTRUM ANTHROPI,1,1,0,0,0,0,Cefalexin,R
CURTOBACTERIUM SP.,1,0,0,0,0,1,Cefalexin,Tie
MORAXELLAPLURANIMA,2,0,0,0,0,2,Cefalexin,Tie
STREPTOCOCCUS SUIS XIII,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS COAGULASE-CULTURE NEGATIVE,33,0,0,0,0,33,Cefalexin,Tie
NEISSERIA MUCOSA,1,0,0,0,0,1,Cefalexin,Tie
TRUEPERELLA PYOGENES (ACTINOMYCES/CORYNEBACTERIUM),37,0,0,0,0,37,Cefalexin,Tie
STREPTOCOCCUS EQUI SPP ZOOEPIDEMICUS,95,0,0,0,0,95,Cefalexin,Tie
GALLIBACTERIUM ANATIS (PASTEURELLA),1,0,0,0,0,1,Cefalexin,Tie
MORAXELLA OVIS,2,0,0,0,0,2,Cefalexin,Tie
KLEBSIELLA AEROGENES (ENTEROBACTER),23,0,0,0,0,23,Cefalexin,Tie
STREPTOCOCCUS SP. ALPHA HEMOLYTIC,15,0,0,0,0,15,Cefalexin,Tie
STREPTOCOCCUS PORCINUS,4,0,0,0,0,4,Cefalexin,Tie
MORGANELLA MORGANII (PROTEUS),3,0,0,0,0,3,Cefalexin,Tie
MORGANELLA MORGANII,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS EQUI,5,0,0,0,0,5,Cefalexin,Tie
ENTEROCOCUS FAECALIS,1,0,0,0,0,1,Cefalexin,Tie
NOCARDIA SP,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA SP. GROUP C1/C2,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA SP. GROUP E1/E4,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM RESISTENS,2,0,0,0,0,2,Cefalexin,Tie
SERRATIA SP.,1,0,0,0,0,1,Cefalexin,Tie
ENTEROBACTER BUGANDENSIS,7,0,0,0,0,7,Cefalexin,Tie
SALMONELLA SP. E1,1,0,0,0,0,1,Cefalexin,Tie
LACTOBACILLUS MURINUS,1,0,0,0,0,1,Cefalexin,Tie
BORDETELLA HINZII,1,0,0,0,0,1,Cefalexin,Tie
RHODOCOCCUS SP.,1,0,0,0,0,1,Cefalexin,Tie
BURKHOLDERIA MULTIVORANS,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA GROUP C1,1,0,0,0,0,1,Cefalexin,Tie
ACTINOBACILLUS EQUULI SPP EQUULI,2,0,0,0,0,2,Cefalexin,Tie
ENTEROBACTER KOBEI,1,0,0,0,0,1,Cefalexin,Tie
STENOTROPHOMONAS MALTOPHILIA (XANTHOMONAS),3,0,0,0,0,3,Cefalexin,Tie
PANTOEA AGGLOMERANS (ENTEROBACTER),1,0,0,0,0,1,Cefalexin,Tie
BUCHANANELLA HORDEOVULNERIS,2,0,0,0,0,2,Cefalexin,Tie
ACTINOMYCES BOWDENII,3,0,0,0,0,3,Cefalexin,Tie
ARCANOBACTERIUM HAEMOLYTICUM,1,0,0,0,0,1,Cefalexin,Tie
PSEUDOMONAS ALCALIPHILA,1,0,0,0,0,1,Cefalexin,Tie
SCHAALIA (ACTINOMYCES) CANIS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS DIDELPHIS,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS SIMULANS,2,0,0,0,0,2,Cefalexin,Tie
SCHAALIA HYOVAGINALIS,6,0,0,0,0,6,Cefalexin,Tie
SALMONELLA SP.GROUP C,1,0,0,0,0,1,Cefalexin,Tie
RHODOCOCCUS HOAGII (RHODOCOCCUS EQUI),2,0,0,0,0,2,Cefalexin,Tie
SALMONELLA C1,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA 18,1,0,0,0,0,1,Cefalexin,Tie
OLIGELLA URETHRALIS,1,0,0,0,0,1,Cefalexin,Tie
BORDETELLA TREMATUM,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM MASTITIDIS,1,0,0,0,0,1,Cefalexin,Tie
AEROMONAS SALMONICIDA,2,0,0,0,0,2,Cefalexin,Tie
LACTOCOCCUS LACTIS,1,0,0,0,0,1,Cefalexin,Tie
PROVIDENCIA RETTGERI (PROTEUS),3,0,0,0,0,3,Cefalexin,Tie
SCHAALIA CANIS,5,0,0,0,0,5,Cefalexin,Tie
SCHAALIA (ACTINOMYCES) HYOVAGINALIS,1,0,0,0,0,1,Cefalexin,Tie
FLAVOBACTERIUM SP.,1,0,0,0,0,1,Cefalexin,Tie
HISTOPHILUS SOMNI (HAEMOPHILUS SOMNUS),1,0,0,0,0,1,Cefalexin,Tie
PANTOEA EUCRINA,1,0,0,0,0,1,Cefalexin,Tie
ACTINOBACILLUS LIGNIERESII,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM DIPHTHERIAE,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS SP. COAGULASE-CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
PSEUDOMONAS OLEOVORANS,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM KUTSCHERI,2,0,0,0,0,2,Cefalexin,Tie
ESCHERICHIA SP.,1,0,0,0,0,1,Cefalexin,Tie
,2,0,0,0,0,2,Cefalexin,Tie
CORYNEBACTERIUM SP.,341,97,178,25,13,28,Cefazolin,S
CULTURE NEGATIVE,39939,0,0,0,0,0,Cefazolin,Tie
GRAMNEGATIVE ROD,66,14,37,8,5,2,Cefazolin,S
ACINETOBACTER BAUMANNII COMPLEX,6,6,0,0,0,0,Cefazolin,R
PROTEUS MIRABILIS,654,149,266,211,11,17,Cefazolin,S
STAPHYLOCOCCUS EPIDERMIDIS,23,9,11,0,0,3,Cefazolin,S
ENTEROCOCCUS SP.,264,217,0,0,41,6,Cefazolin,R
PSEUDOMONAS AERUGINOSA,564,487,0,0,26,51,Cefazolin,R
ESCHERICHIA COLI,2826,651,1777,236,22,140,Cefazolin,S
MORGANELLA MORGANI SS MORGANII,25,22,0,0,0,3,Cefazolin,R
PROTEUS SP.,4,3,1,0,0,0,Cefazolin,R
ALCALIGENES FAECALIS SS FAECALIS,4,2,0,2,0,0,Cefazolin,Tie
STREPTOCOCCUS ALPHA HEMOLYTIC,335,26,238,34,7,30,Cefazolin,S
BACILLUS LENTUS,1,0,1,0,0,0,Cefazolin,S
ENTEROBACTER CLOACAE COMPLEX,20,20,0,0,0,0,Cefazolin,R
PASTEURELLA MULTOCIDA,160,4,118,6,4,28,Cefazolin,S
PROTEUS VULGARIS,35,18,5,1,0,11,Cefazolin,R
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,663,1378,17,64,35,Cefazolin,S
STREPTOCOCCUS BETA GROUP - G,5,0,4,1,0,0,Cefazolin,S
KLEBSIELLA PNEUMONIAE,174,61,83,18,0,12,Cefazolin,S
LECLERCIA ADECARBOXYLATA,8,1,5,1,0,1,Cefazolin,S
BACILLUS SP.,130,34,73,11,2,10,Cefazolin,S
ESCHERICHIA COLI HAEMOLYTIC,25,2,22,0,0,1,Cefazolin,S
AEROCOCCUS SP.,13,1,11,1,0,0,Cefazolin,S
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,2,77,77,6,0,Cefazolin,Tie
KLEBSIELLA OXYTOCA,72,38,21,5,1,7,Cefazolin,R
PSEUDOMONAS PUTIDA,5,5,0,0,0,0,Cefazolin,R
STAPHYLOCOCCUS AUR. SS AUREUS,134,26,82,11,2,13,Cefazolin,S
PSEUDOMONAS MENDOCINA,4,3,0,0,0,1,Cefazolin,R
MICROCOCCUS SP.,17,1,13,3,0,0,Cefazolin,S
CITROBACTER KOSERI,18,14,2,2,0,0,Cefazolin,R
STAPHYLOCOCCUS SP.,13,3,9,0,1,0,Cefazolin,S
MORGANELLA MORGANI SSP SIBONII,1,1,0,0,0,0,Cefazolin,R
ACTINOBACILLUS SUIS,22,0,10,8,3,1,Cefazolin,S
ACTINOBACILLUS EQUULI SS EQUULI,21,0,11,9,1,0,Cefazolin,S
STREPTOCOCCUS CANIS,777,11,686,9,38,33,Cefazolin,S
PASTEURELLA CANIS,120,4,109,1,1,5,Cefazolin,S
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,1,0,0,0,Cefazolin,S
PSEUDOMONAS STUTZERI,5,3,1,0,0,1,Cefazolin,R
PASTEURELLA PNEUMOTROPICA,9,0,9,0,0,0,Cefazolin,S
MORAXELLA SP.,22,0,15,3,2,2,Cefazolin,S
SPHINGOBACTERIUM SPIRITIVORUM,1,1,0,0,0,0,Cefazolin,R
NEISSERIA SP.,24,2,16,3,3,0,Cefazolin,S
NEISSERIA ZOODEGMATIS,9,0,8,0,1,0,Cefazolin,S
PSEUDOMONAS ALCALIGENES,4,1,3,0,0,0,Cefazolin,S
AEROMONAS HYDROPHILIA,4,3,0,1,0,0,Cefazolin,R
AEROMONAS SP.,6,6,0,0,0,0,Cefazolin,R
BORDETELLA BRONCHISEPTICA,46,36,0,0,9,1,Cefazolin,R
CHRONOBACTER SAKAZAKII GROUP,1,1,0,0,0,0,Cefazolin,R
RAOULTELLA ORNITHINOLYTICA,5,0,3,2,0,0,Cefazolin,S
PROVIDENCIA RETTGERI,12,12,0,0,0,0,Cefazolin,R
ENTEROCOCCUS FAECIUM,296,211,0,0,78,7,Cefazolin,R
ROTHIA MUCILAGINOSA,3,0,3,0,0,0,Cefazolin,S
ENTEROCOCCUS GALLINARUM,5,4,0,0,1,0,Cefazolin,R
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE GROUP,407,144,216,11,13,23,Cefazolin,S
ENTEROCOCCUS FAECALIS,612,411,0,0,191,10,Cefazolin,R
SALMONELLA SP. GROUP B,18,2,1,3,0,12,Cefazolin,I
SALMONELLA SP. GROUP C2,9,1,3,1,0,4,Cefazolin,S
SERRATIA MARCESCENS,58,57,0,0,0,1,Cefazolin,R
PANTOEA AGGLOMERANS,18,6,7,4,0,1,Cefazolin,S
SPHINGOMONAS PAUCIMOBILIS,7,2,5,0,0,0,Cefazolin,S
ACHROMOBACTER XYLO SS DENITRIFICANS,3,3,0,0,0,0,Cefazolin,R
ALPHA STREP NOT SUIS,2,0,0,1,0,1,Cefazolin,I
ENTEROCOCCUS DURANS,3,3,0,0,0,0,Cefazolin,R
MANNHEIMIA HAEMOLYTICA,18,0,0,0,0,18,Cefazolin,Tie
PASTEURELLA SP.,16,0,15,1,0,0,Cefazolin,S
STREPTOCOCCUS NON-HEMOLYTIC,41,1,34,0,6,0,Cefazolin,S
SALMONELLA SP. GROUP C1,14,2,2,4,0,6,Cefazolin,I
BURKHOLDERIA CEPACIA GROUP,2,0,2,0,0,0,Cefazolin,S
ENTEROCOCCUS AVIUM,16,14,0,0,2,0,Cefazolin,R
ENTEROBACTER AEROGENES,33,32,0,0,0,1,Cefazolin,R
ENTEROCOCCUS HIRAE,9,8,0,0,0,1,Cefazolin,R
BREVUNDIMONAS VESICULARIS,1,1,0,0,0,0,Cefazolin,R
SALMONELLA SP. GROUP E1,38,4,6,2,0,26,Cefazolin,S
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,1,6,1,0,0,Cefazolin,S
RHODOCOCCUS EQUI,16,13,0,0,2,1,Cefazolin,R
HAEMOPHILUS SP.,6,1,4,0,1,0,Cefazolin,S
PSEUDOMONAS SP.,16,13,0,1,0,2,Cefazolin,R
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,1,0,0,0,0,Cefazolin,R
ACINETOBACTERER SP.,32,27,1,1,2,1,Cefazolin,R
STREPTOCOCCUS BETA GROUP - B,16,0,15,0,1,0,Cefazolin,S
STREPTOCOCCUS BETA GROUP - C,23,0,19,3,0,1,Cefazolin,S
LACTOBACILLUS ACIDOPHILUS,1,0,1,0,0,0,Cefazolin,S
CITROBACTER AMALONATICUS,4,4,0,0,0,0,Cefazolin,R
AEROMONAS CAVIAE,6,5,0,1,0,0,Cefazolin,R
STREPTOCOCCUS EQUI SSP EQUI,43,1,19,17,6,0,Cefazolin,S
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,14,0,0,0,Cefazolin,S
ENTEROBACTER CLOACAE,136,124,0,0,0,12,Cefazolin,R
STAPHYLOCOCCUS CHROMOGENES,5,0,1,1,0,3,Cefazolin,Tie
BRANHAMELLA OVIS,1,0,0,0,0,1,Cefazolin,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Cefazolin,Tie
STENOTROPHOMONAS MALTOPHILIA,19,19,0,0,0,0,Cefazolin,R
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,1,8,0,0,0,Cefazolin,S
ACHROMOBACTER SP.,2,2,0,0,0,0,Cefazolin,R
CITROBACTER FREUNDII,18,16,0,1,0,1,Cefazolin,R
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Cefazolin,Tie
PROVIDENCIA STUARTII,5,4,0,0,0,1,Cefazolin,R
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,1,0,0,0,0,Cefazolin,R
MYROIDES SP.,2,1,1,0,0,0,Cefazolin,Tie
GRAMNEGATIVE ORGANISM,11,4,7,0,0,0,Cefazolin,S
SALMONELLA SP. GROUP E4,3,0,1,0,0,2,Cefazolin,S
GRAMPOSITIVE ROD,4,1,2,0,0,1,Cefazolin,S
CRONOBACTER SAKAZAKII GROUP,1,1,0,0,0,0,Cefazolin,R
NEISSERIA ANIMALORIS,9,3,2,1,3,0,Cefazolin,Tie
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,1,0,0,0,Cefazolin,S
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Cefazolin,Tie
TRUEPERELLA PYOGENES,64,0,3,0,1,60,Cefazolin,S
ESCHERICHIA FERGUSONII,2,0,2,0,0,0,Cefazolin,S
PANTOEA SP.,18,1,12,5,0,0,Cefazolin,S
STAPHYLOCOCCUS SCHLEIFERI,116,33,70,1,8,4,Cefazolin,S
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,1,0,0,0,0,Cefazolin,R
ENTEROBACTER ASBURIAE,23,21,2,0,0,0,Cefazolin,R
PSEUDOMONAS FLUORESCENS,2,2,0,0,0,0,Cefazolin,R
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,4,1,0,0,Cefazolin,S
ENTEROBACTER CANCEROGENUS,1,1,0,0,0,0,Cefazolin,R
